strategy,droneCount,droneID,timeStamp,x,y
Decentralized,10,31927043512,760,-237.807540893555,1.74641013145447
Decentralized,10,32111592899,760,-233.097152709961,-6.86470985412598
Decentralized,10,32296142286,760,-212.825210571289,-22.4005146026611
Decentralized,10,32480691673,760,-212.437576293945,23.5818099975586
Decentralized,10,32665241060,760,-207.362976074219,8.31166458129883
Decentralized,10,32849790447,760,-228.610336303711,0.35715341567993
Decentralized,10,33034339834,760,-239.045394897461,-19.7852439880371
Decentralized,10,33218889221,760,-227.964141845703,11.0292930603027
Decentralized,10,33403438608,760,-204.031051635742,-7.55599927902222
Decentralized,10,33587987995,760,-231.895492553711,22.1449203491211
Decentralized,10,31927043512,848,-243.934753417969,1.91674637794495
Decentralized,10,32111592899,848,-225.856018066406,-17.100980758667
Decentralized,10,32296142286,848,-212.624557495117,-27.0630035400391
Decentralized,10,32480691673,848,-211.247909545898,26.8210411071777
Decentralized,10,32665241060,848,-204.391098022461,7.63846683502197
Decentralized,10,32849790447,848,-217.912322998047,-2.88481259346008
Decentralized,10,33034339834,848,-237.041015625,-31.2308292388916
Decentralized,10,33218889221,848,-224.420272827148,12.814980506897
Decentralized,10,33403438608,848,-200.525512695313,-8.79354953765869
Decentralized,10,33587987995,848,-233.689514160156,29.2499809265137
Decentralized,10,31927043512,949,-243.934753417969,-3.06545352935791
Decentralized,10,32111592899,949,-225.856018066406,-22.0831775665283
Decentralized,10,32296142286,949,-208.452346801758,-27.8730030059814
Decentralized,10,32480691673,949,-207.075698852539,27.6310405731201
Decentralized,10,32665241060,949,-199.408889770508,7.63846683502197
Decentralized,10,32849790447,949,-217.671447753906,-7.44575643539429
Decentralized,10,33034339834,949,-237.041015625,-36.2130317687988
Decentralized,10,33218889221,949,-224.474487304688,12.8873329162598
Decentralized,10,33403438608,949,-195.543304443359,-8.79354953765869
Decentralized,10,33587987995,949,-233.689514160156,34.2321815490723
Decentralized,10,31927043512,1050,-243.934753417969,-8.11155319213867
Decentralized,10,32111592899,1050,-225.856018066406,-22.0216770172119
Decentralized,10,32296142286,1050,-203.40625,-27.8730030059814
Decentralized,10,32480691673,1050,-202.029602050781,27.6310405731201
Decentralized,10,32665241060,1050,-194.36279296875,7.63846683502197
Decentralized,10,32849790447,1050,-217.671447753906,-2.39965653419495
Decentralized,10,33034339834,1050,-237.041015625,-41.2591323852539
Decentralized,10,33218889221,1050,-224.474487304688,17.9334335327148
Decentralized,10,33403438608,1050,-190.497207641602,-8.79354953765869
Decentralized,10,33587987995,1050,-233.689514160156,39.2782821655273
Decentralized,10,31927043512,1148,-243.934753417969,-13.1609182357788
Decentralized,10,32111592899,1148,-225.856018066406,-16.9723072052002
Decentralized,10,32296142286,1148,-198.356903076172,-27.8730030059814
Decentralized,10,32480691673,1148,-196.980255126953,27.6310405731201
Decentralized,10,32665241060,1148,-189.313446044922,7.63846683502197
Decentralized,10,32849790447,1148,-217.671447753906,2.64971017837524
Decentralized,10,33034339834,1148,-233.707702636719,-42.9751625061035
Decentralized,10,33218889221,1148,-224.474487304688,22.9828033447266
Decentralized,10,33403438608,1148,-185.447860717773,-8.79354953765869
Decentralized,10,33587987995,1148,-230.356201171875,40.994312286377
Decentralized,10,31927043512,1250,-243.934753417969,-18.1609191894531
Decentralized,10,32111592899,1250,-225.022689819336,-12.8056411743164
Decentralized,10,32296142286,1250,-193.35693359375,-27.8730030059814
Decentralized,10,32480691673,1250,-191.980285644531,27.6310405731201
Decentralized,10,32665241060,1250,-184.3134765625,7.63846683502197
Decentralized,10,32849790447,1250,-217.671447753906,7.64971113204956
Decentralized,10,33034339834,1250,-228.707733154297,-42.9751625061035
Decentralized,10,33218889221,1250,-224.474487304688,22.8126010894775
